График отключения ГВС в МКД для выполнения плановых профилактических работ в период подготовки к ОЗП 2021 г.,,,,
,,,,
,,,,
№ п/п,Адрес,Тип потребителя,Дата отключения ГВС,Дата включения ГВС
1,"Химки г, 8 Марта ул, 1",жилое,8/17/2021,8/29/2021
2,"Химки г, 8 Марта ул, 2",жилое,8/17/2021,8/29/2021
3,"Химки г, 8 Марта ул, 2 А",жилое,8/17/2021,8/29/2021
4,"Химки г, 8 Марта ул, 3",жилое,8/17/2021,8/29/2021
5,"Химки г, 8 Марта ул, 4",жилое,8/17/2021,8/29/2021
6,"Химки г, 8 Марта ул, 6",жилое,8/17/2021,8/29/2021
7,"Химки г, 8 Марта ул, 7",жилое,8/17/2021,8/29/2021
8,"Химки г, 8 Марта ул, 8",жилое,8/17/2021,8/29/2021
9,"Химки г, 8 Марта ул, 9",жилое,8/17/2021,8/29/2021
10,"Химки г, 9 Мая ул, 1",жилое,6/15/2021,6/29/2021
11,"Химки г, 9 Мая ул, 10",жилое,7/15/2021,7/29/2021
12,"Химки г, 9 Мая ул, 10 Б",жилое,7/15/2021,7/29/2021
13,"Химки г, 9 Мая ул, 10 В",жилое,7/15/2021,7/29/2021
14,"Химки г, 9 Мая ул, 12",жилое,7/15/2021,7/29/2021
15,"Химки г, 9 Мая ул, 12 А",жилое,7/15/2021,7/29/2021
16,"Химки г, 9 Мая ул, 12 Б",жилое,7/15/2021,7/29/2021
17,"Химки г, 9 Мая ул, 12 Д",жилое,7/15/2021,7/29/2021
18,"Химки г, 9 Мая ул, 13",жилое,7/15/2021,7/29/2021
19,"Химки г, 9 Мая ул, 14",жилое,7/15/2021,7/29/2021
20,"Химки г, 9 Мая ул, 16",жилое,7/15/2021,7/29/2021
21,"Химки г, 9 Мая ул, 17",жилое,7/15/2021,7/29/2021
22,"Химки г, 9 Мая ул, 18 А",жилое,7/15/2021,7/29/2021
23,"Химки г, 9 Мая ул, 18 Б",жилое,7/15/2021,7/29/2021
24,"Химки г, 9 Мая ул, 2",жилое,6/15/2021,6/29/2021
25,"Химки г, 9 Мая ул, 21 1",жилое,7/15/2021,7/29/2021
26,"Химки г, 9 Мая ул, 21 2",жилое,7/15/2021,7/29/2021
27,"Химки г, 9 Мая ул, 21 3",жилое,7/15/2021,7/29/2021
28,"Химки г, 9 Мая ул, 3",жилое,6/15/2021,6/29/2021
29,"Химки г, 9 Мая ул, 4 А 1",жилое,6/1/2021,6/15/2021
30,"Химки г, 9 Мая ул, 4 А 2",жилое,6/1/2021,6/15/2021
31,"Химки г, 9 Мая ул, 4 А 3",жилое,6/1/2021,6/15/2021
32,"Химки г, 9 Мая ул, 4 А 4",жилое,6/1/2021,6/15/2021
33,"Химки г, 9 Мая ул, 4/1",жилое,6/1/2021,6/15/2021
34,"Химки г, 9 Мая ул, 6",жилое,6/1/2021,6/15/2021
35,"Химки г, 9 Мая ул, 7",жилое,6/1/2021,6/15/2021
36,"Химки г, 9 Мая ул, 8",жилое,7/15/2021,7/29/2021
37,"Химки г, 9 Мая ул, 8 А",жилое,7/15/2021,7/29/2021
38,"Химки г, 9 Мая ул, 9",жилое,7/15/2021,7/29/2021
39,"Химки г, Академика Глушко ул, 2",жилое,8/17/2021,8/29/2021
40,"Химки г, Академика Грушина ул, 10",жилое,8/17/2021,8/29/2021
41,"Химки г, Академика Грушина ул, 14",жилое,8/17/2021,8/29/2021
42,"Химки г, Академика Грушина ул, 16/2",жилое,8/17/2021,8/29/2021
43,"Химки г, Академика Грушина ул, 2/10",жилое,8/17/2021,8/29/2021
44,"Химки г, Академика Грушина ул, 28/1",жилое,8/17/2021,8/29/2021
45,"Химки г, Академика Грушина ул, 30",жилое,8/17/2021,8/29/2021
46,"Химки г, Академика Грушина ул, 4",жилое,8/17/2021,8/29/2021
47,"Химки г, Академика Грушина ул, 8",жилое,8/17/2021,8/29/2021
48,"Химки г, Аптечная ул, 2 А",жилое,7/29/2021,8/11/2021
49,"Химки г, Аптечная ул, 3",жилое,7/29/2021,8/11/2021
50,"Химки г, Аптечная ул, 4",жилое,7/29/2021,8/11/2021
51,"Химки г, Аптечная ул, 5",жилое,7/29/2021,8/11/2021
52,"Химки г, Аптечная ул, 6",жилое,7/29/2021,8/11/2021
53,"Химки г, Аптечная ул, 7",жилое,7/29/2021,8/11/2021
54,"Химки г, Аптечная ул, 8",жилое,7/29/2021,8/11/2021
55,"Химки г, Бабакина ул, 1/6",жилое,6/30/2021,7/14/2021
56,"Химки г, Бабакина ул, 13",жилое,6/30/2021,7/14/2021
