index;address;type;start;end;latitude;longitude
0;Химки г, 8 Марта ул, 1;жилое;8/17/2021;8/29/2021;55.903792;37.456837
1;Химки г, 8 Марта ул, 2;жилое;8/17/2021;8/29/2021;55.904069;37.458014
2;Химки г, 8 Марта ул, 2 А;жилое;8/17/2021;8/29/2021;55.904634;37.458912
3;Химки г, 8 Марта ул, 3;жилое;8/17/2021;8/29/2021;55.903701;37.455615
4;Химки г, 8 Марта ул, 4;жилое;8/17/2021;8/29/2021;55.90419;37.457043
5;Химки г, 8 Марта ул, 6;жилое;8/17/2021;8/29/2021;55.904629;37.455876
6;Химки г, 8 Марта ул, 7;жилое;8/17/2021;8/29/2021;55.905043;37.453378
7;Химки г, 8 Марта ул, 8;жилое;8/17/2021;8/29/2021;55.905316;37.454304
8;Химки г, 8 Марта ул, 9;жилое;8/17/2021;8/29/2021;55.90474;37.452543
9;Химки г, 9 Мая ул, 1;жилое;6/15/2021;6/29/2021;55.889341;37.428881
10;Химки г, 9 Мая ул, 10;жилое;7/15/2021;7/29/2021;55.901707;37.413924
11;Химки г, 9 Мая ул, 10 Б;жилое;7/15/2021;7/29/2021;55.902293;37.414814
12;Химки г, 9 Мая ул, 10 В;жилое;7/15/2021;7/29/2021;55.902616;37.414409
13;Химки г, 9 Мая ул, 12;жилое;7/15/2021;7/29/2021;55.902888;37.412577
14;Химки г, 9 Мая ул, 12 А;жилое;7/15/2021;7/29/2021;55.903766;37.412442
15;Химки г, 9 Мая ул, 12 Б;жилое;7/15/2021;7/29/2021;55.903393;37.413125
16;Химки г, 9 Мая ул, 12 Д;жилое;7/15/2021;7/29/2021;55.903131;37.413682
17;Химки г, 9 Мая ул, 13;жилое;7/15/2021;7/29/2021;55.902384;37.411804
18;Химки г, 9 Мая ул, 14;жилое;7/15/2021;7/29/2021;55.902;37.410448
19;Химки г, 9 Мая ул, 16;жилое;7/15/2021;7/29/2021;55.90306;37.409639
20;Химки г, 9 Мая ул, 17;жилое;7/15/2021;7/29/2021;55.903862;37.40999
21;Химки г, 9 Мая ул, 18 А;жилое;7/15/2021;7/29/2021;55.90475;37.410744
22;Химки г, 9 Мая ул, 18 Б;жилое;7/15/2021;7/29/2021;55.903731;37.411607
23;Химки г, 9 Мая ул, 2;жилое;6/15/2021;6/29/2021;55.889815;37.428046
24;Химки г, 9 Мая ул, 21 1;жилое;7/15/2021;7/29/2021;55.908883;37.405974
25;Химки г, 9 Мая ул, 21 2;жилое;7/15/2021;7/29/2021;55.909257;37.405453
26;Химки г, 9 Мая ул, 21 3;жилое;7/15/2021;7/29/2021;55.909877;37.405462
27;Химки г, 9 Мая ул, 3;жилое;6/15/2021;6/29/2021;55.890977;37.427121
28;Химки г, 9 Мая ул, 4 А 1;жилое;6/1/2021;6/15/2021;55.896776;37.420805
29;Химки г, 9 Мая ул, 4 А 2;жилое;6/1/2021;6/15/2021;55.896135;37.421865
30;Химки г, 9 Мая ул, 4 А 3;жилое;6/1/2021;6/15/2021;55.895439;37.421713
31;Химки г, 9 Мая ул, 4 А 4;жилое;6/1/2021;6/15/2021;55.895681;37.423132
32;Химки г, 9 Мая ул, 4/1;жилое;6/1/2021;6/15/2021;55.891895;37.426878
33;Химки г, 9 Мая ул, 6;жилое;6/1/2021;6/15/2021;55.898805;37.417553
34;Химки г, 9 Мая ул, 7;жилое;6/1/2021;6/15/2021;55.899709;37.4167
35;Химки г, 9 Мая ул, 8;жилое;7/15/2021;7/29/2021;55.90086;37.414975
36;Химки г, 9 Мая ул, 8 А;жилое;7/15/2021;7/29/2021;55.901571;37.415496
37;Химки г, 9 Мая ул, 9;жилое;7/15/2021;7/29/2021;55.901445;37.414787
38;Химки г, Академика Глушко ул, 2;жилое;8/17/2021;8/29/2021;55.903035;37.451483
39;Химки г, Академика Грушина ул, 10;жилое;8/17/2021;8/29/2021;55.908797;37.456046
40;Химки г, Академика Грушина ул, 14;жилое;8/17/2021;8/29/2021;55.907844;37.45407
41;Химки г, Академика Грушина ул, 16/2;жилое;8/17/2021;8/29/2021;55.908389;37.454178
42;Химки г, Академика Грушина ул, 2/10;жилое;8/17/2021;8/29/2021;55.906274;37.453495
43;Химки г, Академика Грушина ул, 28/1;жилое;8/17/2021;8/29/2021;55.911855;37.455085
44;Химки г, Академика Грушина ул, 30;жилое;8/17/2021;8/29/2021;55.912536;37.455687
45;Химки г, Академика Грушина ул, 4;жилое;8/17/2021;8/29/2021;55.907198;37.454304
46;Химки г, Академика Грушина ул, 8;жилое;8/17/2021;8/29/2021;55.90961;37.454977
47;Химки г, Аптечная ул, 2 А;жилое;7/29/2021;8/11/2021;55.890941;37.448078
48;Химки г, Аптечная ул, 3;жилое;7/29/2021;8/11/2021;55.891618;37.449623
49;Химки г, Аптечная ул, 4;жилое;7/29/2021;8/11/2021;55.891047;37.449066
50;Химки г, Аптечная ул, 5;жилое;7/29/2021;8/11/2021;55.891189;37.450396
51;Химки г, Аптечная ул, 6;жилое;7/29/2021;8/11/2021;55.890401;37.449354
52;Химки г, Аптечная ул, 7;жилое;7/29/2021;8/11/2021;55.890653;37.450288
53;Химки г, Аптечная ул, 8;жилое;7/29/2021;8/11/2021;55.890048;37.450189
54;Химки г, Бабакина ул, 1/6;жилое;6/30/2021;7/14/2021;55.882025;37.428064
55;Химки г, Бабакина ул, 13;жилое;6/30/2021;7/14/2021;55.879308;37.418083
56;Химки г, Бабакина ул, 15;жилое;6/30/2021;7/14/2021;55.878637;37.417491
57;Химки г, Бабакина ул, 2 А;жилое;6/30/2021;7/14/2021;55.883181;37.426043
58;Химки г, Бабакина ул, 2 Б;жилое;6/30/2021;7/14/2021;55.883075;37.427049
59;Химки г, Бабакина ул, 3;жилое;6/30/2021;7/14/2021;55.881141;37.424767
60;Химки г, Бабакина ул, 4;жилое;6/30/2021;7/14/2021;55.881939;37.423141
